genename	geneID	chr	strand	start	stop 0
Spam1	NM_009241	chr6	+	24741198	24751048 9850
Repin1	NM_001079901	chr6	+	48543906	48549081 5175
Repin1	NM_001079902	chr6	+	48543906	48549081 5175
Repin1	NM_001079903	chr6	+	48543906	48549081 5175
Repin1	NM_001079904	chr6	+	48543906	48549081 5175
Repin1	NM_001079905	chr6	+	48543906	48549081 5175
Fgfr1	NM_001079908	chr8	+	26629266	26686186 56920
Fgfr1	NM_001079909	chr8	+	26629266	26686186 56920
Fgfr1	NM_010206	chr8	+	26629266	26686186 56920
EG384814	NM_001079931	chr8	-	44759173	44761256 2083
Trim72	NM_001079932	chr7	+	135147990	135154901 6911
Med1	NM_001080118	chr11	-	98014974	98054607 39633
Casp8	NM_001080126	chr1	+	58859345	58904347 45002
Rnps1	NM_001080127	chr17	+	24551644	24562842 11198
Rnps1	NM_001080128	chr17	+	24551644	24562842 11198
Rnps1	NM_009070	chr17	+	24551644	24562842 11198
Tmpo	NM_001080129	chr10	-	90610315	90634327 24012
Tmpo	NM_001080132	chr10	-	90610315	90634327 24012
Tmpo	NM_001080131	chr10	-	90610315	90634327 24012
Tmpo	NM_001080130	chr10	-	90610315	90634327 24012
Tmpo	NM_001080134	chr10	-	90619843	90634327 14484
Cenpm	NM_001080158	chr15	-	82064205	82074698 10493
6330500D04Rik	NM_001080381	chr13	+	24730516	24797870 67354
Clta	NM_001080386	chr4	+	44025542	44045718 20176
Clta	NM_001080384	chr4	+	44025542	44045718 20176
Clta	NM_001080385	chr4	+	44025542	44045718 20176
Clta	NM_016760	chr4	+	44025542	44045718 20176
Fusip1	NM_001080387	chr4	+	135412006	135421733 9727
Mark2	NM_001080389	chr19	-	7349885	7416310 66425
Mark2	NM_007928	chr19	-	7349885	7416310 66425
Mark2	NM_001080388	chr19	-	7349885	7416310 66425
Mark2	NM_001080390	chr19	-	7349885	7369927 20042
Usp6nl	NM_001080548	chr2	+	6243901	6364866 120965
Hdx	NM_001080549	chrX	-	108688812	108810688 121876
Wfdc8	NM_001080550	chr2	-	164422712	164439126 16414
Gsg1	NM_001080552	chr6	-	135187347	135197902 10555
Gsg1	NM_001080553	chr6	-	135187347	135204354 17007
Btaf1	NM_001080706	chr19	+	37000616	37088547 87931
Gpr155	NM_001080707	chr2	-	73188948	73224538 35590
2310033K02Rik	NM_001080708	chr2	-	167806285	167836093 29808
4930402F06Rik	NM_001080709	chr2	-	35231081	35252695 21614
4833413O15Rik	NM_001080710	chr4	-	3983812	4004661 20849
Dfnb59	NM_001080711	chr2	+	76488329	76496613 8284
EG665186	NM_001080712	chr4	-	133746718	133758919 12201
Vamp5	NM_001080742	chr6	-	72318127	72330443 12316
Vamp5	NM_016872	chr6	-	72318127	72330443 12316
Grk4	NM_001080743	chr5	+	35003027	35043737 40710
Gtf2i	NM_001080749	chr5	-	134713703	134790589 76886
Gtf2i	NM_010365	chr5	-	134713703	134790589 76886
Gtf2i	NM_001080748	chr5	-	134713703	134790589 76886
Gtf2i	NM_001080746	chr5	-	134713703	134790589 76886
Gtf2i	NM_001080747	chr5	-	134713703	134790589 76886
Ambra1	NM_001080754	chr2	+	91570337	91759006 188669
Ambra1	NM_172669	chr2	+	91570337	91759006 188669
Zzz3	NM_001080755	chr3	+	152058973	152125790 66817
Uhrf1bp1	NM_001080769	chr17	+	27993448	28036985 43537
Prdm13	NM_001080771	chr4	-	21604626	21613110 8484
Pdpk1	NM_001080773	chr17	-	24210646	24278556 67910
Myo1c	NM_001080774	chr11	+	75465651	75488136 22485
Myo1c	NM_001080775	chr11	+	75469516	75488136 18620
Gm1123	NM_001080776	chr9	-	98907383	98936070 28687
1700029F12Rik	NM_001080777	chr13	-	97792089	97804317 12228
Ret	NM_001080780	chr6	-	118101765	118147762 45997
Ret	NM_009050	chr6	-	118101765	118147762 45997
1700029H14Rik	NM_001080781	chr8	-	13550732	13562448 11716
1700029H14Rik	NM_025601	chr8	-	13550732	13562448 11716
Ash2l	NM_001080793	chr8	-	26927341	26958159 30818
G3bp2	NM_001080794	chr5	-	92481171	92512583 31412
G3bp2	NM_001080796	chr5	-	92481171	92512583 31412
G3bp2	NM_001080795	chr5	-	92481186	92512761 31575
G3bp2	NM_001080797	chr5	-	92481171	92511943 30772
Aff1	NM_001080798	chr5	+	104183591	104284341 100750
Ccdc64	NM_001080808	chr5	-	116099294	116181498 82204
Cps1	NM_001080809	chr1	+	67169639	67277022 107383
Zfp397os	NM_001080810	chr18	-	24129475	24140056 10581
EG545477	NM_001080811	chr2	+	153800680	153826231 25551
Rab11fip1	NM_001080813	chr8	-	28249244	28285115 35871
Fat3	NM_001080814	chr9	-	15714636	16182675 468039
Gipr	NM_001080815	chr7	-	19742473	19751476 9003
Bclp2	NM_001080816	chr3	-	105820049	105835732 15683
Prdm10	NM_001080817	chr9	+	31122691	31186128 63437
Cdc14a	NM_001080818	chr3	-	115975470	116126920 151450
Arid1a	NM_001080819	chr4	-	133234922	133309526 74604
Cass4	NM_001080820	chr2	+	172219402	172258360 38958
Znrf3	NM_001080924	chr11	-	5176331	5344846 168515
Rapgefl1	NM_001080925	chr11	+	98698093	98714319 16226
Rbpj	NM_001080927	chr5	+	53981717	54048684 66967
Rbpj	NM_001080928	chr5	+	53947017	54048684 101667
Cdr2l	NM_001080929	chr11	+	115243207	115257446 14239
Atxn1l	NM_001080930	chr8	-	112250350	112261649 11299
Med13	NM_001080931	chr11	-	86079216	86171076 91860
Foxk2	NM_001080932	chr11	+	121116807	121171210 54403
Ankfn1	NM_001080933	chr11	-	89282399	89399869 117470
Slc16a5	NM_001080934	chr11	+	115323786	115335712 11926
B230217C12Rik	NM_001080935	chr11	+	97702093	97704357 2264
EG624219	NM_001080940	chr9	+	21639953	21641791 1838
Zfp429	NM_001080941	chr13	-	67490264	67500703 10439
9230107M04Rik	NM_001080942	chr7	-	14140214	14156416 16202
Zdhhc22	NM_001080943	chr12	-	88324330	88329626 5296
Atp8b4	NM_001080944	chr2	-	126146708	126317289 170581
Nanogpd	NM_001080945	chr6	+	122657780	122663573 5793
Larp4	NM_001080948	chr15	+	99800504	99846789 46285
Ttc5	NM_001080949	chr14	-	51385089	51405193 20104
Ppapdc1a	NM_001080963	chr7	+	136400607	136534821 134214
Sp2	NM_001080964	chr11	-	96814651	96838959 24308
Sp2	NM_030220	chr11	-	96814651	96838959 24308
LOC100034363	NM_001080967	chrX	-	133489804	133492518 2714
Thg1l	NM_001080969	chr11	-	45761655	45769007 7352
Tubb1	NM_001080971	chr2	+	174276195	174283383 7188
Sri	NM_001080974	chr5	+	8056562	8069245 12683
Rsbn1l	NM_001080977	chr5	-	20398841	20457583 58742
Ddx23	NM_001080981	chr15	-	98475937	98493325 17388
4632434I11Rik	NM_001080995	chr7	-	100006036	100022746 16710
Trmt2a	NM_001080999	chr16	+	18249066	18253595 4529
Trmt2a	NM_008307	chr16	+	18249066	18253595 4529
Trmt2a	NM_001081000	chr16	+	18249066	18253595 4529
Brca2	NM_001081001	chr5	+	151325204	151372324 47120
1500012F01Rik	NM_001081005	chr2	+	166888433	166891362 2929
Zfp382	NM_001081007	chr7	+	30906984	30920051 13067
Taf1	NM_001081008	chrX	+	98728169	98797128 68959
Parp8	NM_001081009	chr13	-	117643630	117814323 170693
Olfr367	NM_001081010	chr2	+	37122470	37126907 4437
Srgap2	NM_001081011	chr1	-	133181827	133423907 242080
4930473A06Rik	NM_001081012	chr4	+	83171522	83510574 339052
Rlf	NM_001081013	chr4	-	120817977	120861139 43162
Dennd4c	NM_001081014	chr4	+	86394471	86476071 81600
Zc3h7b	NM_001081016	chr15	+	81575277	81626699 51422
9030205A07Rik	NM_001081017	chr12	+	104240193	104422208 182015
OTTMUSG00000007855	NM_001081019	chr4	+	94260340	94267010 6670
Adamts6	NM_001081020	chr13	+	105077952	105284843 206891
Zfp780b	NM_001081021	chr7	-	28744818	28764168 19350
D430042O09Rik	NM_001081022	chr7	+	132851389	133018311 166922
Cacna1s	NM_001081023	chr1	+	137949477	138016399 66922
Cacna1s	NM_014193	chr1	+	137949477	138016399 66922
Setdb2	NM_001081024	chr14	-	60020847	60059651 38804
4932425I24Rik	NM_001081025	chr16	-	38297839	38341946 44107
Kcnt2	NM_001081027	chr1	+	142142833	142506838 364005
Sipa1l3	NM_001081028	chr7	-	30105396	30290479 185083
4930420K17Rik	NM_001081029	chr5	+	9100736	9118983 18247
Sbf1	NM_001081030	chr15	-	89118666	89145720 27054
EG667977	NM_001081032	chr17	-	36301917	36305467 3550
Pde11a	NM_001081033	chr2	-	75829188	76176710 347522
Fbxo11	NM_001081034	chr17	-	88390198	88464582 74384
Nav3	NM_001081035	chr10	-	109120494	109437275 316781
Srgap1	NM_001081037	chr10	-	121222297	121484249 261952
Btbd16	NM_001081038	chr7	+	137917621	137969411 51790
Dock9	NM_001081039	chr14	-	121941260	122097639 156379
Coq10a	NM_001081040	chr10	-	127800152	127807093 6941
1110014N23Rik	NM_001081041	chr19	-	6067841	6077201 9360
Ptpn23	NM_001081043	chr9	-	110287592	110310714 23122
Mylk2	NM_001081044	chr2	+	152737087	152748801 11714
1700081L11Rik	NM_001081045	chr11	-	104194542	104303613 109071
Efcab3	NM_001081046	chr11	+	104953532	104978851 25319
Cnksr1	NM_001081047	chr4	-	133783956	133794255 10299
Slc25a18	NM_001081048	chr6	+	120723785	120744000 20215
Mll1	NM_001081049	chr9	-	44611437	44689372 77935
Pard3b	NM_001081050	chr1	+	61685397	62688858 1003461
D130043K22Rik	NM_001081051	chr13	+	24936999	24993139 56140
Nhs	NM_001081052	chrX	-	158274199	158597722 323523
Itga10	NM_001081053	chr3	+	96449506	96468442 18936
Qrsl1	NM_001081054	chr10	-	43593995	43621549 27554
Trappc10	NM_001081055	chr10	-	77649470	77707387 57917
Xpot	NM_001081056	chr10	-	121024435	121063369 38934
4930573I19Rik	NM_001081057	chr12	+	112127530	112210604 83074
Cdc2l5	NM_001081058	chr13	-	17807795	17896833 89038
Cdc2l5	NM_027118	chr13	-	17807795	17896833 89038
Ccdc90a	NM_001081059	chr13	-	43636927	43655530 18603
Slc9a3	NM_001081060	chr13	+	74258962	74303512 44550
Bdp1	NM_001081061	chr13	-	100787948	100873989 86041
Ccno	NM_001081062	chr13	+	113778009	113780986 2977
4933401F05Rik	NM_001081063	chr14	-	64694279	64704226 9947
Pdzd2	NM_001081064	chr15	-	12286808	12522311 235503
Zfp707	NM_001081065	chr15	+	75799613	75806295 6682
Dennd3	NM_001081066	chr15	+	73342989	73402672 59683
A1bg	NM_001081067	chr15	-	60749143	60752825 3682
Zfp294	NM_001081068	chr16	-	87376895	87432768 55873
Rgs11	NM_001081069	chr17	+	26339906	26348269 8363
Pdia2	NM_001081070	chr17	-	26332943	26336032 3089
Lycat	NM_001081071	chr17	+	73457386	73592706 135320
Slc27a6	NM_001081072	chr18	+	58715893	58772523 56630
Cep76	NM_001081073	chr18	-	67777050	67800967 23917
A1cf	NM_001081074	chr19	+	31943250	32023896 80646
5730455O13Rik	NM_001081075	chr19	-	38262968	38298622 35654
Gucy2g	NM_001081076	chr19	-	55272590	55315726 43136
Cwf19l1	NM_001081077	chr19	-	44183126	44210343 27217
Lct	NM_001081078	chr1	-	130181340	130224895 43555
Ogfrl1	NM_001081079	chr1	-	23373262	23390014 16752
Phf3	NM_001081080	chr1	-	30859186	30920101 60915
Gls	NM_001081081	chr1	-	52220293	52290076 69783
Alpi	NM_001081082	chr1	-	88994578	88998181 3603
Armc3	NM_001081083	chr2	+	19120744	19231861 111117
Cubn	NM_001081084	chr2	-	13197964	13413503 215539
2010317E24Rik	NM_001081085	chr2	+	25227908	25233733 5825
Ppig	NM_001081086	chr2	+	69561144	69592116 30972
Kbtbd10	NM_001081087	chr2	+	69508176	69522296 14120
Lrp2	NM_001081088	chr2	-	69262391	69424124 161733
A530057A03Rik	NM_001081089	chr2	+	127250934	127261828 10894
Esf1	NM_001081090	chr2	-	139945616	139996287 50671
Cep152	NM_001081091	chr2	-	125388823	125450806 61983
Taf4a	NM_001081092	chr2	-	179646850	179711362 64512
Arfip1	NM_001081093	chr3	-	84299985	84386581 86596
Znhit6	NM_001081094	chr3	+	145239171	145268209 29038
1700009N14Rik	NM_001081095	chr4	+	39397325	39398811 1486
Fam154a	NM_001081096	chr4	-	86090601	86204207 113606
Grik3	NM_001081097	chr4	+	125168074	125391417 223343
Zfp362	NM_001081098	chr4	-	128450328	128483356 33028
2610002D18Rik	NM_001081099	chr4	+	134066971	134079837 12866
Morn1	NM_001081100	chr4	+	154460685	154519616 58931
4933407H18Rik	NM_001081101	chr5	+	33721248	33762403 41155
Whsc1	NM_001081102	chr5	+	34163554	34238525 74971
Stim2	NM_001081103	chr5	+	54389808	54511442 121634
Chrna9	NM_001081104	chr5	+	66358362	66368725 10363
Rhoh	NM_001081105	chr5	+	66254807	66287939 33132
4Cytl1	NM_001081106	chr5	+	38126757	38131059 4302
Hel308	NM_001081107	chr5	-	101191166	101227619 36453
0910001L09Rik	NM_001081108	chr5	+	138697046	138700627 3581
Lmtk2	NM_001081109	chr5	+	144861304	144949073 87769
Cd8a	NM_001081110	chr6	+	71323420	71329165 5745
Cd8a	NM_009857	chr6	+	71323420	71329165 5745
Tmf1	NM_001081111	chr6	-	97105259	97129061 23802
Ankrd26	NM_001081112	chr6	-	118452581	118512274 59693
Ipo8	NM_001081113	chr6	-	148719205	148779977 60772
Clip3	NM_001081114	chr7	+	31076750	31093386 16636
Nccrp1	NM_001081115	chr7	-	29328615	29332273 3658
Arhgef17	NM_001081116	chr7	-	108018259	108080659 62400
Mki67	NM_001081117	chr7	-	142881470	142908064 26594
Phrf1	NM_001081118	chr7	+	148414675	148448650 33975
Abhd13	NM_001081119	chr8	+	9977789	9992154 14365
2310031A18Rik	NM_001081120	chr8	-	127264156	127275770 11614
4931429I11Rik	NM_001081121	chr9	-	40702931	40772195 69264
Cep63	NM_001081122	chr9	-	102488907	102528474 39567
1100001E04Rik	NM_001081123	chrX	+	46823535	46853427 29892
Mtap7d2	NM_001081124	chrX	+	155852509	155936879 84370
Gli2	NM_001081125	chr1	-	120730637	120950185 219548
Gpr161	NM_001081126	chr1	+	167225896	167251982 26086
Adamts14	NM_001081127	chr10	-	60659859	60736186 76327
Mtr	NM_001081128	chr13	-	12279085	12350267 71182
Cntnap3	NM_001081129	chr13	-	64838898	65005196 166298
Ogdhl	NM_001081130	chr14	+	33135201	33161006 25805
Dhtkd1	NM_001081131	chr2	-	5819105	5863827 44722
Upf2	NM_001081132	chr2	+	5872566	5977749 105183
Kif16b	NM_001081133	chr2	-	142444080	142727215 283135
Kcng1	NM_001081134	chr2	-	168087197	168094831 7634
Prrg3	NM_001081135	chrX	+	69208329	69218067 9738
Dgat2l3	NM_001081136	chrX	+	97767585	97773545 5960
2010204N08Rik	NM_001081137	chr3	-	72692481	72770806 78325
Ankrd35	NM_001081139	chr3	+	96473994	96494957 20963
Kcna10	NM_001081140	chr3	+	106986060	106998639 12579
Gabbr2	NM_001081141	chr4	-	46676769	47004586 327817
Kcnq4	NM_001081142	chr4	-	120370077	120419781 49704
Gnat3	NM_001081143	chr5	+	17468324	17525486 57162
Zfp518b	NM_001081144	chr5	-	39059718	39075993 16275
Tigd2	NM_001081145	chr6	+	59158863	59162027 3164
Prickle2	NM_001081146	chr6	-	92320885	92656178 335293
Oxtr	NM_001081147	chr6	-	112423677	112439802 16125
Cyp2b23	NM_001081148	chr7	-	27450245	27471449 21204
Myst3	NM_001081149	chr8	+	23970032	24053734 83702
Lonrf1	NM_001081150	chr8	-	37279117	37312570 33453
Gan	NM_001081151	chr8	+	119681947	119729086 47139
Npat	NM_001081152	chr9	+	53345194	53383732 38538
Unc13c	NM_001081153	chr9	-	73327230	73781374 454144
4921513D23Rik	NM_001081154	chr16	-	14110625	14159364 48739
Rap1gap	NM_001081155	chr4	+	137237617	137285782 48165
2300002D11Rik	NM_001081156	chr4	-	133047014	133054463 7449
Lmod3	NM_001081157	chr6	-	97188521	97202774 14253
1300001I01Rik	NM_001081158	chr11	+	74463038	74484349 21311
S100z	NM_001081159	chr13	-	96247255	96248610 1355
Mdga1	NM_001081160	chr17	-	29964902	30024827 59925
Fam171a1	NM_001081161	chr2	+	3035614	3145081 109467
Slc4a11	NM_001081162	chr2	-	130509843	130523255 13412
Chsy1	NM_001081163	chr7	+	73254388	73318684 64296
Otud4	NM_001081164	chr8	+	82163574	82201654 38080
Fam26d	NM_001081165	chr10	-	33758589	33764119 5530
Phf21b	NM_001081166	chr15	-	84615813	84686530 70717
B3gnt6	NM_001081167	chr7	-	105340924	105347985 7061
Sap30l	NM_001081168	chr11	+	57615163	57624117 8954
A530050D06Rik	NM_001081169	chr12	+	113344893	113365784 20891
Pacs2	NM_001081170	chr12	+	114252718	114312612 59894
Lama5	NM_001081171	chr2	-	179911077	179960564 49487
Frmpd1	NM_001081172	chr4	+	45197777	45298808 101031
Lrch2	NM_001081173	chrX	-	143906236	143988563 82327
6330545A04Rik	NM_001081174	chr4	+	140769870	140782671 12801
Itpkb	NM_001081175	chr1	+	182260661	182353790 93129
Polr3g	NM_001081176	chr13	-	81812835	81850012 37177
Kif13b	NM_001081177	chr14	+	65271387	65425133 153746
Gpr116	NM_001081178	chr17	+	43526414	43596506 70092
Heatr5b	NM_001081179	chr17	-	79152245	79234701 82456
Spink5	NM_001081180	chr18	+	44122894	44182141 59247
9430016H08Rik	NM_001081181	chr1	+	57463391	57472802 9411
Atp8b2	NM_001081182	chr3	-	89743402	89767430 24028
1110037F02Rik	NM_001081183	chr4	+	11413104	11478290 65186
BC057079	NM_001081184	chr4	+	87740571	88056915 316344
Flnc	NM_001081185	chr6	+	29383152	29411888 28736
D630042F21Rik	NM_001081186	chr6	+	129462574	129469245 6671
Htra4	NM_001081187	chr8	-	26135962	26149394 13432
Exosc7	NM_001081188	chr9	+	123022401	123045247 22846
Uprt	NM_001081189	chrX	+	101678192	101701601 23409
Gabrr3	NM_001081190	chr16	+	59407207	59461565 54358
Eml5	NM_001081191	chr12	-	100024813	100139653 114840
Hcn4	NM_001081192	chr9	+	58671318	58708762 37444
Lemd3	NM_001081193	chr10	-	120360466	120416409 55943
Kcnh4	NM_001081194	chr11	-	100602916	100620919 18003
Arid4a	NM_001081195	chr12	+	72117016	72200338 83322
Hnrnpul2	NM_001081196	chr19	+	8893890	8908632 14742
Apobec4	NM_001081197	chr1	+	154597758	154604674 6916
Tmem182	NM_001081198	chr1	+	40862445	40912112 49667
Mamdc4	NM_001081199	chr2	-	25418634	25426836 8202
Crnn	NM_001081200	chr3	+	92948708	92953393 4685
Dpy19l4	NM_001081201	chr4	-	11192225	11249183 56958
L1td1	NM_001081202	chr4	+	98393516	98405177 11661
Sbno1	NM_001081203	chr5	-	124818710	124875923 57213
B3galtl	NM_001081204	chr5	+	150480818	150565174 84356
Npal1	NM_001081205	chr5	+	73039034	73062317 23283
Dgki	NM_001081206	chr6	-	36796021	37249976 453955
Hs3st5	NM_001081208	chr10	+	36226612	36554200 327588
Prdm14	NM_001081209	chr1	-	13103508	13117244 13736
Mrpl44	NM_001081210	chr1	+	79772691	79778020 5329
Ptafr	NM_001081211	chr4	+	132119981	132136781 16800
Irs2	NM_001081212	chr8	-	10986963	11008341 21378
Ermp1	NM_001081213	chr19	-	29684372	29722868 38496
Pprc1	NM_001081214	chr19	+	46131052	46147399 16347
Ddx60	NM_001081215	chr8	+	64406885	64516492 109607
Phip	NM_001081216	chr9	-	82759765	82869022 109257
Zfp174	NM_001081217	chr16	+	3847258	3858880 11622
Hcfc2	NM_001081218	chr10	+	82161751	82204137 42386
Myo1a	NM_001081219	chr10	+	127142311	127157996 15685
Gpr179	NM_001081220	chr11	-	97193422	97213387 19965
Ercc6	NM_001081221	chr14	+	33326764	33394175 67411
Esco1	NM_001081222	chr18	-	10566509	10610350 43841
Rbbp8	NM_001081223	chr18	+	11816350	11901716 85366
Prr16	NM_001081224	chr18	+	51277551	51464295 186744
Fam178a	NM_001081225	chr19	+	45005653	45058277 52624
2310009B15Rik	NM_001081226	chr1	-	140748555	140753431 4876
6330403A02Rik	NM_001081227	chr1	-	182364365	182413635 49270
Ttc30a2	NM_001081228	chr2	-	75814228	75816236 2008
Tsc22d2	NM_001081229	chr3	+	58219610	58270709 51099
Mtap9	NM_001081230	chr3	+	82161993	82199190 37197
Lhfpl3	NM_001081231	chr5	+	22251876	22781415 529539
D5Ertd579e	NM_001081232	chr5	-	36943137	37087208 144071
EG433923	NM_001081233	chr5	+	97693767	97695032 1265
Pigg	NM_001081234	chr5	+	108741856	108777798 35942
Mn1	NM_001081235	chr5	+	111847185	111886045 38860
2410131K14Rik	NM_001081236	chr5	+	118695293	118713123 17830
Klhdc5	NM_001081237	chr6	+	147039596	147061300 21704
Palb2	NM_001081238	chr7	-	129250778	129276427 25649
EG232801	NM_001081239	chr7	+	4189355	4195065 5710
AI931714	NM_001081240	chr8	+	80073337	80105237 31900
2310066E14Rik	NM_001081241	chr8	+	108129201	108146118 16917
Tln2	NM_001081242	chr9	-	67064891	67407510 342619
Filip1	NM_001081243	chr9	-	79663368	79825689 162321
BY080835	NM_001081244	chr9	-	107495397	107499406 4009
1700017N19Rik	NM_001081246	chr10	+	100055019	100081025 26006
Polr3a	NM_001081247	chr14	-	25267915	25306210 38295
OTTMUSG00000010747	NM_001081248	chr4	+	144203609	144213301 9692
Vcan	NM_001081249	chr13	-	89794914	89882117 87203
Vcan	NM_001134474	chr13	-	89794914	89882117 87203
Vcan	NM_001134475	chr13	-	89794914	89882117 87203
Vcan	NM_019389	chr13	-	89794914	89882117 87203
Myh13	NM_001081250	chr11	+	67140604	67185004 44400
Pbrm1	NM_001081251	chr14	+	31832335	31934778 102443
Ugcgl2	NM_001081252	chr14	-	119384206	119498657 114451
Fbxo43	NM_001081253	chr15	-	36079814	36094559 14745
EG545136	NM_001081254	chr15	-	99101448	99117611 16163
Lrch3	NM_001081255	chr16	+	32914212	33016115 101903
Jmjd1b	NM_001081256	chr18	+	34936685	34999024 62339
LOC545291	NM_001081257	chr19	-	42863084	43462801 599717
Kif14	NM_001081258	chr1	+	138364534	138428088 63554
Mfsd7b	NM_001081259	chr1	-	192829710	192850038 20328
Tnks1bp1	NM_001081260	chr2	+	84890616	84913205 22589
4932431H17Rik	NM_001081262	chr3	-	58420221	58441129 20908
Slc44a5	NM_001081263	chr3	+	153636399	153934684 298285
Alg6	NM_001081264	chr4	+	99382390	99430151 47761
Heatr2	NM_001081265	chr5	+	139626189	139662459 36270
Ccdc142	NM_001081266	chr6	+	83051509	83059115 7606
Rsf1	NM_001081267	chr7	+	104728405	104835302 106897
BC039632	NM_001081268	chr7	-	135028957	135034484 5527
Whsc1l1	NM_001081269	chr8	+	26750755	26830139 79384
Dscaml1	NM_001081270	chr9	+	45238436	45561796 323360
Calhm1	NM_001081271	chr19	-	47215524	47218664 3140
OTTMUSG00000008594	NM_001081272	chr4	+	106881784	106890519 8735
1600015I10Rik	NM_001081273	chr6	+	48879891	48883686 3795
Pgd	NM_001081274	chr4	-	148524093	148540779 16686
1700009P17Rik	NM_001081275	chr1	+	173051791	173057098 5307
Clasp1	NM_001081276	chr1	+	120285634	120506039 220405
Clasp1	NM_029709	chr1	+	120285634	120506039 220405
Clasp1	NM_177548	chr1	+	120285634	120506039 220405
Ak5	NM_001081277	chr3	-	152125778	152331104 205326
Tbc1d4	NM_001081278	chr14	-	101841576	102008408 166832
Mfhas1	NM_001081279	chr8	+	36650900	36742503 91603
Nlrc3	NM_001081280	chr16	-	3946932	3976632 29700
Trim55	NM_001081281	chr3	+	19544459	19591599 47140
Ibtk	NM_001081282	chr9	-	85580962	85637766 56804
Tmem28	NM_001081283	chrX	+	97016407	97041684 25277
OTTMUSG00000008003	NM_001081284	chr4	-	96390577	96451851 61274
620807	NM_001081285	chr4	+	60016420	60019086 2666
Fat1	NM_001081286	chr8	+	46035561	46137611 102050
Mpp7	NM_001081287	chr18	-	7350734	7626864 276130
Taf2	NM_001081288	chr15	-	54846683	54903707 57024
9030418K01Rik	NM_001081289	chr2	+	178149238	178156866 7628
Bat2d	NM_001081290	chr1	-	164601915	164670613 68698
Ccdc88b	NM_001081291	chr19	-	6919112	6932701 13589
Map3k10	NM_001081292	chr7	-	28441395	28459591 18196
Rprd2	NM_001081293	chr3	-	95563795	95622876 59081
Prr19	NM_001081294	chr7	+	26086377	26089152 2775
4631416L12Rik	NM_001081295	chr3	+	62142698	62266143 123445
Lphn2	NM_001081298	chr3	-	148478549	148617599 139050
Cdh18	NM_001081299	chr15	+	22966217	23404173 437956
Tshz1	NM_001081300	chr18	-	84181018	84255954 74936
Trio	NM_001081302	chr15	-	27660403	27955603 295200
Atf6	NM_001081304	chr1	-	172634587	172797882 163295
Ptprz1	NM_001081306	chr6	+	22825501	23002916 177415
Ppp1r12b	NM_001081307	chr1	-	136662519	136852505 189986
Taok3	NM_001081308	chr5	+	117583603	117723924 140321
Pik3r4	NM_001081309	chr9	+	105545326	105589985 44659
2010003H20Rik	NM_001081310	chr2	+	14096150	14143620 47470
Tmco2	NM_001081312	chr4	-	120778255	120781831 3576
Fam148b	NM_001081314	chr9	+	67606382	67608740 2358
Brpf3	NM_001081315	chr17	+	28938070	28975734 37664
Dsel	NM_001081316	chr1	-	113755278	113761515 6237
Anubl1	NM_001081317	chr6	+	116214278	116279644 65366
EG625716	NM_001081318	chr6	-	141920716	141957266 36550
C030046E11Rik	NM_001081319	chr19	+	29596706	29680411 83705
Cyb561d1	NM_001081320	chr3	-	107998688	108003752 5064
Cyb561d1	NM_028061	chr3	-	107998688	108003752 5064
Pds5a	NM_001081321	chr5	-	66006498	66089095 82597
Myo5c	NM_001081322	chr9	+	75079867	75153257 73390
Mphosph9	NM_001081323	chr5	-	124700967	124778460 77493
Neto2	NM_001081324	chr8	-	88160486	88214908 54422
EG629219	NM_001081325	chr7	-	14807825	14840182 32357
Agl	NM_001081326	chr3	-	116442916	116511162 68246
Hs3st2	NM_001081327	chr7	+	128535790	128645282 109492
Chsy3	NM_001081328	chr18	+	59334994	59570990 235996
Zkscan2	NM_001081329	chr7	-	130622153	130643963 21810
Dnahc2	NM_001081330	chr11	-	69234310	69362610 128300
D7Ertd443e	NM_001081331	chr7	-	141457944	141568511 110567
Slc9a5	NM_001081332	chr8	+	107872080	107893781 21701
Plekhg4	NM_001081333	chr8	+	107899280	107906762 7482
Parc	NM_001081335	chr17	-	46637553	46683337 45784
Dgkh	NM_001081336	chr14	-	78969415	79124896 155481
Sipa1l2	NM_001081337	chr8	-	127941962	128016610 74648
L3mbtl	NM_001081338	chr2	+	162769200	162800258 31058
Xirp1	NM_001081339	chr9	-	119923382	119928933 5551
Setd2	NM_001081340	chr9	+	110435100	110521137 86037
Scaper	NM_001081341	chr9	-	55397689	55785887 388198
Gpr133	NM_001081342	chr5	+	129602624	129710474 107850
3110043O21Rik	NM_001081343	chr4	-	35138530	35173065 34535
Stxbp5	NM_001081344	chr10	-	9475344	9620838 145494
Chd2	NM_001081345	chr7	-	80571537	80686632 115095
Rtkn2	NM_001081346	chr10	+	67442334	67506612 64278
Rhobtb1	NM_001081347	chr10	+	68675404	68754532 79128
Hecw1	NM_001081348	chr13	-	14318704	14615493 296789
Slc43a1	NM_001081349	chr2	+	84679574	84703743 24169
Nol8	NM_001081350	chr13	+	49748708	49774384 25676
A430107O13Rik	NM_001081351	chr6	+	21935909	22205606 269697
Ttc37	NM_001081352	chr13	+	76236252	76325431 89179
2210408I21Rik	NM_001081353	chr13	+	77274812	77333166 58354
Mamld1	NM_001081354	chrX	+	68303430	68407892 104462
Prdm2	NM_001081355	chr4	-	142697294	142802605 105311
2610030H06Rik	NM_001081356	chrX	+	69062117	69070045 7928
