genename	geneID	chr	strand	start	stop
Serpina3f	NM_001033335	chr12	+	105452842	105459333
Abcc4	NM_001033336	chr14	-	118881913	119105427
Ttc38	NM_001033337	chr15	+	85662775	85689252
Rimbp3	NM_001033338	chr16	+	17208227	17214075
Mmp25	NM_001033339	chr17	-	23766424	23782236
Lrrc30	NM_001033340	chr17	-	67980304	67982063
Sec31b	NM_001033343	chr19	-	44591446	44620356
Dusp27	NM_001033344	chr1	-	168028283	168058029
Gm216	NM_001033345	chr1	+	74408681	74415895
Lrrc55	NM_001033346	chr2	-	85028227	85036856
D430041D05Rik	NM_001033347	chr2	-	103983231	104250491
A230067G21Rik	NM_001033348	chr2	-	146067034	146337752
Gm410	NM_001033349	chr3	-	57471343	57496459
Bank1	NM_001033350	chr3	-	135716327	135989010
Grin3a	NM_001033351	chr4	-	49678097	49857953
Klhl21	NM_001033352	chr4	+	151382998	151391786
Iqsec3	NM_001033354	chr6	-	121322950	121423696
Zfp568	NM_001033355	chr7	+	30768974	30810130
Gm484	NM_001033356	chr7	+	52939783	52949924
Gpr101	NM_001033360	chrX	-	54749844	54756894
Pgr15l	NM_001033361	chrX	+	94267934	94277443
Gm614	NM_001033362	chrX	-	98456715	98459331
BC025920	NM_001033363	chr10	+	81069113	81072560
Pcdh24	NM_001033364	chr13	+	54802823	54838016
Gm628	NM_001033365	chr15	-	73617365	73670101
Dpcr1	NM_001033366	chr17	-	35772699	35780640
Nlrc4	NM_001033367	chr17	-	74825634	74858448
Acvr1c	NM_001033369	chr2	-	58119863	58177218
Lrrc36	NM_001033371	chr8	+	107951515	107987979
Gm648	NM_001033372	chrX	-	53797050	53802783
Gm694	NM_001033374	chr4	-	140988817	140992020
A230046K03Rik	NM_001033375	chr10	+	83006749	83059218
A430078G23Rik	NM_001033378	chr8	+	3353459	3386724
Dcp1b	NM_001033379	chr6	+	119125293	119170222
Itpripl2	NM_001033380	chr7	-	125628625	125635448
Cacna2d4	NM_001033382	chr6	+	119186543	119302425
6430526N21Rik	NM_001033383	chr7	+	4972023	4984825
D630037F22Rik	NM_001033385	chr10	-	55734099	55948431
Fubp3	NM_001033389	chr2	+	31428337	31473039
A130090K04Rik	NM_001033391	chr10	+	3294053	3434998
Tmem104	NM_001033393	chr11	+	115048840	115107952
A230069A22Rik	NM_001033394	chr4	-	155157459	155159983
Krt26	NM_001033397	chr11	-	99189797	99199278
Gfod1	NM_001033399	chr13	-	43290887	43399541
Gm806	NM_001033400	chr13	+	50562675	50570724
Gm1968	NM_001033403	chr16	-	29958012	29979210
Gm813	NM_001033404	chr16	-	58613798	58617091
Treml2	NM_001033405	chr17	+	48439362	48451859
Gm815	NM_001033407	chr19	+	26960414	26963137
Rbm44	NM_001033408	chr1	+	93041679	93067372
Lgr6	NM_001033409	chr1	-	136882929	137001853
Gm757	NM_001033410	chr2	-	25089995	25092307
Gm826	NM_001033411	chr2	-	160137136	160153230
Gm829	NM_001033412	chr4	+	45696460	45736578
Gm833	NM_001033414	chr4	+	152071648	152075031
Shisa3	NM_001033415	chr5	+	67999121	68003511
Gal3st4	NM_001033416	chr5	-	138706152	138713982
Bsph1	NM_001033418	chr7	+	14036189	14058798
Ceacam16	NM_001033419	chr7	-	20437445	20446603
Dock1	NM_001033420	chr7	+	141862372	142365330
Gm846	NM_001033421	chr9	+	35477223	35480474
Thoc2	NM_001033422	chrX	-	39148170	39265063
Gm773	NM_001033423	chrX	-	53443003	53466058
5031408O05Rik	NM_001033424	chrX	-	103430584	103450711
Zscan10	NM_001033425	chr17	+	23737914	23747986
Grxcr2	NM_001033426	chr18	-	42145854	42158703
Lyg2	NM_001033427	chr1	-	37962767	37973338
Tmem211	NM_001033428	chr5	+	113655928	113668283
Trim75	NM_001033429	chr8	-	67505549	67511543
Jhdm1d	NM_001033430	chr6	-	39086618	39156772
Heca	NM_001033432	chr10	-	17620271	17667853
Tmem102	NM_001033433	chr11	-	69617098	69619172
Gm884	NM_001033434	chr11	-	103395890	103476053
Gm885	NM_001033435	chr11	+	106612581	106628882
Atxn7l1	NM_001033436	chr12	+	33832557	34053142
Gm889	NM_001033437	chr12	-	40902972	40925902
Gm906	NM_001033438	chr13	-	50340549	50345677
Lrch1	NM_001033439	chr14	-	75154479	75347593
Gm1587	NM_001033440	chr14	-	78193751	78198775
Alg10b	NM_001033441	chr15	+	90054734	90060985
Gm1604b	NM_001033442	chr17	+	7229916	7291909
Cdkl4	NM_001033443	chr17	-	80922889	80963174
Capn13	NM_001033444	chr17	-	73655803	73748636
Fam59a	NM_001033445	chr18	-	21285842	21458621
Gm949	NM_001033446	chr18	+	47081468	47093876
Gm962	NM_001033448	chr19	+	5568074	5571261
Als2cr4	NM_001033449	chr1	-	59157436	59176932
Mnda	NM_001033450	chr1	-	175826485	175843053
Zfp408	NM_001033451	chr2	-	91483844	91489939
Gm1967	NM_001033452	chr2	-	93695519	93709260
AI427809	NM_001033454	chr4	-	53274227	53283104
Ccdc27	NM_001033455	chr4	-	153400752	153416786
Gm1040	NM_001033457	chr5	+	29761258	29778709
Gm1673	NM_001033458	chr5	+	34326168	34327655
Gm1679	NM_001033459	chr5	+	110783114	110785106
Gm1060	NM_001033460	chr5	+	30607913	30668993
Lrrc43	NM_001033461	chr5	+	123939333	123958213
Tatdn2	NM_001033463	chr6	+	113647564	113661062
Efcab4b	NM_001033464	chr6	+	127527946	127579956
6430531B16Rik	NM_001033465	chr7	-	147158201	147164592
Zbtb2	NM_001033466	chr10	+	5958432	5979455
Gpr114	NM_001033468	chr8	+	97447593	97467180
Foxr1	NM_001033469	chr9	-	44242316	44248942
Cpxcr1	NM_001033471	chrX	+	113562552	113592392
A830080D01Rik	NM_001033472	chrX	+	155970617	156031013
Odf3l2	NM_001033473	chr10	-	79102270	79108483
ENSMUSG00000074747	NM_001033474	chr10	-	112362483	112366062
Tmed8	NM_001033475	chr12	-	88507191	88541179
Gm1322	NM_001033477	chr2	+	67011854	67024269
Gm1381	NM_001033478	chr5	+	93000562	93019762
Gm1527	NM_001033479	chr3	+	28791538	28825646
Iqgap3	NM_001033484	chr3	+	87885924	87924970
BC048644	NM_001033485	chr8	+	124431732	124442328
Gm1964	NM_001033488	chr12	-	4869243	4881165
Rnf207	NM_001033489	chr4	-	151681131	151692650
Gm1965	NM_001033491	chr6	+	89090998	89096010
CN716893	NM_001033492	chrX	-	83495594	83501558
Gpr111	NM_001033493	chr17	-	42845885	42879128
Usp-ps	NM_001033494	chr7	+	111800765	111802175
Zfp213	NM_001033496	chr17	-	23693736	23701096
Gramd2	NM_001033498	chr9	+	59555570	59564231
Sh2d1b2	NM_001033499	chr1	+	172163001	172181718
Wdr72	NM_001033500	chr9	+	73958140	74131010
Kcnk6	NM_001033525	chr7	-	30006946	30017541
AW146154	NM_001033530	chr7	-	48734243	48755337
Klhl32	NM_001033531	chr4	-	24544419	24778204
AW554918	NM_001033532	chr18	+	25327515	25625822
Ccdc102a	NM_001033533	chr8	-	97426770	97441951
Tnfaip8l3	NM_001033535	chr9	-	53873412	53916218
Rfx7	NM_001033536	chr9	+	72380073	72470756
Perld1	NM_001033537	chr11	-	98249985	98261804
Cass4	NM_001033538	chr2	+	172219293	172255054
Bex6	NM_001033539	chr16	+	32179885	32187030
EG330503	NM_001033540	chr7	+	30954940	30965228
EG331493	NM_001033541	chrX	+	103778524	103905896
Slc47a2	NM_001033542	chr11	-	61115132	61156362
Il20rb	NM_001033543	chr9	-	100358137	100386904
4922505E12Rik	NM_001033547	chr1	-	184677256	184679311
6030429G01Rik	NM_001033548	chr7	-	4474558	4484044
Lrrc8b	NM_001033550	chr5	+	105844793	105915208
Zdhhc6	NM_001033573	chr19	-	55372788	55390516
Zdhhc6	NM_025883	chr19	-	55372788	55390516
Acsl6	NM_001033598	chr11	+	54117325	54175041
Acsl6	NM_001033599	chr11	+	54128404	54175041
Myot	NM_001033621	chr18	+	44493727	44515376
2310061I04Rik	NM_001033630	chr17	-	36029621	36034323
Ifitm6	NM_001033632	chr7	-	148201710	148202791
Slc2a13	NM_001033633	chr15	-	91098121	91403656
Zyg11b	NM_001033634	chr4	-	107900359	107973695
Crxos1	NM_001033638	chr7	+	16481472	16489358
Pus10	NM_001033654	chr11	+	23565673	23632876
Pus10	NM_028956	chr11	+	23565673	23632876
Pus10	NM_028304	chr11	+	23565673	23632876
Fbxw10	NM_001033669	chr11	+	62660630	62690964
Evi2a	NM_001033711	chr11	-	79340062	79344111
Evi2a	NM_010161	chr11	-	79340062	79344111
Mef2a	NM_001033713	chr7	-	74378716	74517715
Tmem2	NM_001033759	chr19	+	21852858	21932817
Tmem2	NM_031997	chr19	+	21852858	21932817
4931408C20Rik	NM_001033764	chr1	-	26738658	26744305
1700071K01Rik	NM_001033765	chr11	-	81386003	81387041
4930596D02Rik	NM_001033766	chr14	-	36622671	36625164
EG240327	NM_001033767	chr18	+	60371730	60407474
Pin1l	NM_001033768	chr2	-	104554082	104556447
Gm904	NM_001033770	chr13	+	50738596	50741207
Ube2u	NM_001033773	chr4	+	100151471	100222750
Gm1661	NM_001033774	chr4	-	116887794	116924522
4933422H20Rik	NM_001033775	chr11	+	115301858	115309582
7420416P09Rik	NM_001033776	chr12	+	85983845	85992405
EG433632	NM_001033779	chr3	+	97734095	97770941
I830077J02Rik	NM_001033780	chr3	-	105728808	105735582
EG434172	NM_001033782	chr7	+	48539696	48545553
EG434396	NM_001033783	chr9	-	36339987	36349548
Ccdc13	NM_001033784	chr9	-	121726479	121740197
Akap14	NM_001033785	chrX	-	34690692	34708837
EG545253	NM_001033789	chr18	+	39052111	39130926
B020004J07Rik	NM_001033790	chr4	-	101507573	101516627
OTTMUSG00000008911	NM_001033791	chr4	-	120988920	120997522
EG545963	NM_001033792	chr7	-	53038301	53039837
Ubtfl1	NM_001033793	chr9	+	18208861	18215946
C85627	NM_001033794	chr9	-	109579247	109605214
Zcchc16	NM_001033795	chrX	+	141123449	141555407
4930428D18Rik	NM_001033799	chrX	+	73638684	73643318
G630016D24Rik	NM_001033805	chr14	+	52636539	52639462
9530015I07Rik	NM_001033813	chr9	+	21992611	22006567
9130409I23Rik	NM_001033819	chr1	+	182981367	182990798
Zfp551	NM_001033820	chr7	-	13000496	13007840
Cpne8	NM_001033851	chr15	-	90473753	90509819
Rps27a	NM_001033865	chr11	-	29445841	29448040
Rps27a	NM_024277	chr11	-	29445841	29448040
BC004728	NM_001033872	chr15	-	100451770	100467296
1190002A17Rik	NM_001033874	chr2	+	28555757	28668685
Ctrc	NM_001033875	chr4	-	141394154	141402274
Kcnk9	NM_001033876	chr15	-	72342548	72376709
Adamts17	NM_001033877	chr7	+	73984621	74297511
Vmn2r66	NM_001033878	chr7	-	92143154	92160530
Tubal3	NM_001033879	chr13	+	3923940	3934520
Khdc1c	NM_001033904	chr1	+	21358315	21359824
Med22	NM_001033908	chr2	-	26760786	26766104
Med22	NM_011513	chr2	-	26760786	26766104
Treml4	NM_001033922	chr17	+	48403712	48414032
Calca	NM_001033954	chr7	-	121774991	121779871
Rabgap1	NM_001033960	chr2	+	37307805	37400482
Ube3a	NM_001033962	chr7	+	66484121	66562097
Ube3a	NM_011668	chr7	+	66484121	66562097
Ak2	NM_001033966	chr4	+	128670508	128685642
H2-Eb2	NM_001033978	chr17	+	34462619	34477171
Ldlrad2	NM_001033979	chr4	-	137126790	137131095
1700120B06Rik	NM_001033980	chr8	-	122690297	122701369
7420426K07Rik	NM_001033983	chr9	+	98803537	98805041
Ncoa4	NM_001033988	chr14	+	32973140	32992549
Accn1	NM_001034013	chr11	-	80693666	81781898
Il17re	NM_001034029	chr6	+	113408888	113420137
Il17re	NM_001034031	chr6	+	113408888	113420137
Limk2	NM_001034030	chr11	-	3243385	3256144
1700024G13Rik	NM_001034037	chr14	-	33189687	33201559
6330534C20Rik	NM_001034059	chrX	+	50144446	50152645
Rufy4	NM_001034060	chr1	+	74172114	74194797
Ppp2r1b	NM_001034085	chr9	+	50665039	50702334
Tnfsf12-tnfsf13	NM_001034097	chr11	-	69496078	69509499
Tnfsf12-tnfsf13	NM_001034098	chr11	-	69496078	69509499
OTTMUSG00000010537	NM_001034101	chr4	+	143947866	143954322
EG545047	NM_001034102	chr14	-	52331318	52336807
Ank2	NM_001034168	chr3	-	126624524	126646304
Fam134b	NM_001034851	chr15	+	25773018	25903442
4930430D24Rik	NM_001034856	chrX	-	35391375	35396291
C330019L16Rik	NM_001034857	chr7	-	49864895	49897946
Armc2	NM_001034858	chr10	-	41634796	41738188
EG229571	NM_001034860	chr3	+	92872744	92879427
Erich1	NM_001034862	chr8	-	14027564	14090257
Tmem136	NM_001034863	chr9	-	42916735	42924653
EG236749	NM_001034864	chrX	+	23469888	23484676
Nek10	NM_001034865	chr14	+	15697735	15804174
Pnldc1	NM_001034866	chr17	-	13081767	13102781
Mrgprx2	NM_001034868	chr7	-	55733988	55754640
EG245263	NM_001034869	chr10	-	57697595	57699408
Serpina3h	NM_001034870	chr12	+	105486114	105492615
Gm749	NM_001034871	chr17	+	28686431	28689563
Gm853	NM_001034872	chr4	-	129886352	129899539
Ksr2	NM_001034873	chr5	+	117864008	118005951
Gm879	NM_001034874	chr11	-	66025230	66339628
Gm1006	NM_001034875	chr2	+	153769658	153789588
Dnaic2	NM_001034878	chr11	+	114588725	114619200
EG432838	NM_001034880	chr14	+	34854263	34860167
EG432870	NM_001034881	chr14	+	67487686	67489842
EG432879	NM_001034882	chr14	+	79851584	79854623
EG432982	NM_001034883	chr15	+	100253632	100258581
Pnpla1	NM_001034885	chr17	+	28995355	29027253
OTTMUSG00000012686	NM_001034887	chr2	+	29617082	29624516
2210404J11Rik	NM_001034891	chr17	+	15190022	15201196
EG434510	NM_001034892	chr9	+	102641977	102659015
EG435970	NM_001034893	chr7	+	50432957	50447479
EG436240	NM_001034894	chrX	+	149553328	149567404
Zfr2	NM_001034895	chr10	+	80695926	80714868
Tmem92	NM_001034896	chr11	-	94638530	94644017
Ms4a15	NM_001034898	chr19	-	11052796	11067740
EG545391	NM_001034899	chr1	+	179921641	179978422
Zfp345	NM_001034900	chr2	-	150296726	150310799
EG545861	NM_001034902	chr6	-	85061409	85076088
EG545893	NM_001034903	chr6	-	147023583	147035554
EG546038	NM_001034905	chr8	+	19140758	19143010
EG547109	NM_001034906	chr9	+	88475873	88483657
Zc3h12b	NM_001034907	chrX	+	92907044	93123309
EG547347	NM_001034909	chr17	+	36179906	36195590
Defb42	NM_001034910	chr14	+	63665827	63667437
Sorbs1	NM_001034962	chr19	-	40366529	40525888
Sorbs1	NM_001034963	chr19	-	40366529	40525888
Sorbs1	NM_001034964	chr19	-	40366529	40476800
Golm1	NM_001035122	chr13	-	59736356	59777145
Golm1	NM_027307	chr13	-	59736356	59777145
Setd6	NM_001035123	chr8	+	98239878	98242904
St3gal5	NM_001035228	chr6	+	72047590	72104564
St3gal5	NM_011375	chr6	+	72047590	72104564
Zfp748	NM_001035231	chr13	-	67639589	67654088
Trpm3	NM_001035239	chr19	+	22213606	23064372
Trpm3	NM_001035240	chr19	+	22213606	23064372
Trpm3	NM_001035241	chr19	+	22213606	23064372
Trpm3	NM_001035242	chr19	+	22213606	23064372
Trpm3	NM_001035243	chr19	+	22213606	23064372
Trpm3	NM_001035244	chr19	+	22767108	23000979
Trpm3	NM_001035245	chr19	+	22767108	22846871
Trpm3	NM_001035246	chr19	+	22767108	22843870
AU040320	NM_001035525	chr4	+	126430798	126546938
AU040320	NM_001035526	chr4	+	126431013	126546938
Adrbk2	NM_001035531	chr5	-	113389583	113444534
Akap2	NM_001035532	chr4	+	57867031	57909856
Akap2	NM_001035533	chr4	+	57867031	57909856
Akap2	NM_009649	chr4	+	57867031	57909856
Ap2b1	NM_001035854	chr11	+	83116271	83218535
Ap2b1	NM_027915	chr11	+	83116271	83218535
Nrbf2	NM_001036293	chr10	-	66729436	66748013
Atp2b2	NM_001036684	chr6	-	113695661	113841370
B3gnt8	NM_001036740	chr7	+	26412630	26414509
B3gnt8	NM_146184	chr7	+	26412630	26414509
Nacc2	NM_001037098	chr2	-	25911055	25947916
Cacnb4	NM_001037099	chr2	-	52283839	52532055
Musk	NM_001037128	chr4	+	58298833	58387175
Musk	NM_010944	chr4	+	58298833	58387175
Musk	NM_001037127	chr4	+	58298833	58387175
Musk	NM_001037129	chr4	+	58298833	58387175
Musk	NM_001037130	chr4	+	58298833	58387175
Ccne2	NM_001037134	chr4	+	11118500	11131829
Agap1	NM_001037136	chr1	+	91351381	91791857
Agap1	NM_178119	chr1	+	91351381	91791857
2310033E01Rik	NM_001037143	chr7	-	25326676	25331024
Hsn2	NM_001037155	chr6	-	119912384	119913686
EG434881	NM_001037167	chrX	-	151009770	151013873
Psg27	NM_001037168	chr7	-	19141862	19152654
Tomm40l	NM_001037170	chr1	-	173147933	173152557
Nfatc2	NM_001037177	chr2	-	168343702	168415848
Nfatc2	NM_001037178	chr2	-	168343702	168427155
Samd4	NM_001037221	chr14	+	47502609	47721877
Samd4	NM_028966	chr14	+	47502609	47721877
Defb36	NM_001037247	chr2	+	152430108	152438462
Fbxo40	NM_001037321	chr16	-	36966158	36979222
Cstf3	NM_001037326	chr2	+	104430640	104449586
Slc41a3	NM_001037493	chr6	+	90569209	90596406
Defb28	NM_001037502	chr2	+	152343990	152347183
Plac1l	NM_001037634	chr19	-	11721773	11735049
Zfp1	NM_001037665	chr8	+	114167342	114194908
Zfp27	NM_001037707	chr7	-	30678355	30691123
Zfp27	NM_011754	chr7	-	30678355	30691123
Rusc2	NM_001037709	chr4	+	43394947	43439958
Cgn	NM_001037711	chr3	-	94563991	94590399
Kcnh6	NM_001037712	chr11	+	105869516	105895378
Xaf1	NM_001037713	chr11	+	72115130	72127235
OTTMUSG00000019138	NM_001037716	chrX	+	146029143	146071164
4932415M13Rik	NM_001037718	chr17	+	53863075	53865058
Btla	NM_001037719	chr16	+	45224449	45253008
Btla	NM_177584	chr16	+	45224449	45253008
Adam15	NM_001037722	chr3	-	89143561	89153932
Adam15	NM_009614	chr3	-	89143561	89153932
Adcy7	NM_001037723	chr8	+	90812964	90853861
Adcy7	NM_001037724	chr8	+	90818102	90853861
Als2cr13	NM_001037725	chr1	+	59969858	60042190
Arhgap25	NM_001037727	chr6	-	87409378	87483229
Arhgef10	NM_001037736	chr8	+	14911697	15001085
Arhgef10	NM_172751	chr8	+	14911697	15001085
Arnt	NM_001037737	chr3	+	95238339	95301161
Arnt	NM_009709	chr3	+	95238339	95301161
Fam40b	NM_001037740	chr6	+	29867013	29909680
Fam40b	NM_177204	chr6	+	29867013	29909680
Gpx4	NM_001037741	chr10	+	79516767	79519184
1110034B05Rik	NM_001037742	chr1	-	57445087	57463518
1110034B05Rik	NR_004860	chr1	-	57445087	57463518
4921506M07Rik	NM_001037743	chr12	+	58665101	58723096
Timm8a2	NM_001037744	chr14	+	122433895	122437644
Zfp791	NM_001037745	chr8	-	87633065	87646994
AU021838	NM_001037746	chr12	+	58331474	58340854
Card9	NM_001037747	chr2	-	26207831	26215067
Slc22a14	NM_001037749	chr9	-	119078573	119099486
EG432867	NM_001037751	chr14	-	63596364	63603347
OTTMUSG00000015859	NM_001037752	chr2	-	152418926	152422221
Baiap2	NM_001037754	chr11	+	119804447	119862585
Baiap2	NM_001037755	chr11	+	119804405	119868093
Brms1l	NM_001037756	chr12	+	56937357	56970722
ORF19	NM_001037757	chr17	+	66461000	66469843
Sgk3	NM_001037759	chr1	+	9838361	9892649
Capzb	NM_001037761	chr4	+	138748893	138847673
Rai1	NM_001037764	chr11	+	59953583	60012697
Cd209b	NM_001037800	chr8	-	3918643	3926798
Cd6	NM_001037801	chr19	-	10863828	10904548
Cd6	NM_009852	chr19	-	10863828	10904548
Cdh3	NM_001037809	chr8	+	109034812	109080808
Spn	NM_001037810	chr7	-	134276977	134281331
Als2cr4	NM_001037812	chr1	-	59157440	59176617
Krtap5-5	NM_001037822	chr7	-	149414699	149415876
Cklf	NM_001037841	chr8	+	106774831	106788836
Cml3	NM_001037842	chr6	-	85710624	85715738
Cnot2	NM_001037848	chr10	-	115946846	116018567
Csf1r	NM_001037859	chr18	+	61265225	61290793
Atp11c	NM_001037863	chrX	-	57476466	57657178
Atp11c	NM_001001798	chrX	-	57476466	57657178
Col28a1	NM_001037865	chr6	-	7947807	8142617
Tcf25	NM_001037877	chr8	+	125897734	125928073
Tcf25	NM_001037878	chr8	+	125897755	125925792
Nell1	NM_001037906	chr7	+	57230696	58118659
Ripply2	NM_001037907	chr9	+	86910371	86914751
C130026I21Rik	NM_001037909	chr1	-	85242918	85267141
C130026I21Rik	NM_175219	chr1	-	85242918	85267141
LOC622404	NM_001037913	chr4	+	43506303	43508792
EG622408	NM_001037914	chr13	+	113784075	113790602
Ripply1	NM_001037915	chrX	-	136314219	136316892
Ccdc17	NM_001037916	chr4	+	116269334	116272871
EG622976	NM_001037917	chrX	+	106392127	106395777
Lipt1	NM_001037918	chr1	+	37929074	37933143
EG623898	NM_001037919	chr5	+	11594955	11599480
EG624855	NM_001037922	chr8	+	87675822	87697521
EG624866	NM_001037923	chr3	+	65470156	65490101
EG625321	NM_001037924	chr7	-	111681472	111683875
OTTMUSG00000010173	NM_001037926	chr4	+	146064745	146094024
Wdr93	NM_001037927	chr7	+	86888048	86930836
OTTMUSG00000005148	NM_001037928	chr11	+	8948594	8969357
OTTMUSG00000015643	NM_001037929	chr2	-	145375190	145380718
EG628416	NM_001037931	chr14	-	67923724	67933548
OTTMUSG00000000997	NM_001037932	chr11	-	83961864	83980978
Defb23	NM_001037933	chr2	-	152284885	152290328
EG629678	NM_001037935	chr14	-	77879289	77906675
Depdc6	NM_001037937	chr15	+	54964990	55085757
Dhrs4	NM_001037938	chr14	+	56097633	56109177
Dnajb6	NM_001037940	chr5	+	30062437	30113018
Dnajb6	NM_001037941	chr5	+	30062437	30084508
Dusp22	NM_001037955	chr13	+	30751969	30802328
Dyrk1b	NM_001037957	chr7	+	28964501	28972313
Fert2	NM_001037997	chr17	+	64245372	64488810
Dbi	NM_001037999	chr1	-	122009856	122017428
Kat2a	NM_001038010	chr11	-	100566061	100573766
Gnpda2	NM_001038015	chr5	-	69966240	69983554
Grk6	NM_001038018	chr13	+	55546694	55562288
Anapc11	NM_001038230	chr11	+	120459871	120469512
Banf1	NM_001038231	chr19	-	5364639	5366259
Ctsa	NM_001038492	chr2	+	164658372	164666532
Ctsa	NM_008906	chr2	+	164658372	164666532
Arsi	NM_001038499	chr18	+	61071893	61077422
EG619517	NM_001038500	chr17	+	40864068	40868731
Adar	NM_001038587	chr3	+	89518982	89557365
Usp14	NM_001038589	chr18	-	9993612	10030147
Usp14	NM_021522	chr18	-	9993612	10030147
Cldn19	NM_001038590	chr4	+	118928073	118932460
Glrx2	NM_001038592	chr1	+	145586697	145596808
Glrx2	NM_001038593	chr1	+	145586478	145596808
Glrx2	NM_001038594	chr1	+	145587573	145596808
Marveld2	NM_001038602	chr13	-	101365913	101386926
Clec5a	NM_001038604	chr6	-	40524896	40535804
Clec5a	NM_021364	chr6	-	40524896	40535804
Kcnh1	NM_001038607	chr1	+	194014753	194334040
Kcnh1	NM_010600	chr1	+	194014753	194334040
Txnl4a	NM_001038608	chr18	+	80403536	80409471
Mapt	NM_001038609	chr11	+	104092793	104193407
Mapt	NM_010838	chr11	+	104092793	104193407
Dach1	NM_001038610	chr14	-	98186065	98568762
Dach1	NM_007826	chr14	-	98186065	98568762
Olfm1	NM_001038612	chr2	+	28061208	28069951
Olfm1	NM_001038613	chr2	+	28048612	28086256
Olfm1	NM_001038614	chr2	+	28048612	28069951
Dmrtc1a	NM_001038616	chrX	-	100098592	100101808
Dmrtc1a	NM_029378	chrX	-	100098592	100101808
Dnm3	NM_001038619	chr1	-	163917432	164408161
Rabgap1l	NM_001038621	chr1	-	162149304	162281702
Ric3	NM_001038624	chr7	-	116177832	116226838
Sertad2	NM_001038625	chr11	+	20531979	20553026
Stk35	NM_001038635	chr2	+	129626196	129658021
Stk35	NM_183262	chr2	+	129626196	129658021
2210009G21Rik	NM_001038641	chr2	+	136725086	136895514
Ets1	NM_001038642	chr9	+	32503626	32565405
Ets1	NM_011808	chr9	+	32503626	32565405
Slco3a1	NM_001038643	chr7	-	81420303	81699666
E130120F12Rik	NM_001038651	chr13	-	67440244	67461508
Slc16a3	NM_001038654	chr11	+	120810420	120820314
Slc16a3	NM_001038653	chr11	+	120810420	120820314
Gng7	NM_001038655	chr10	-	80411368	80464110
Faim2	NM_001038658	chr15	-	99327435	99358448
Faim2	NM_028224	chr15	-	99327435	99358448
Slc7a15	NM_001038660	chr12	-	8536150	8546351
Mapk1	NM_001038663	chr16	+	16983474	17039133
Gngt2	NM_001038664	chr11	+	95703981	95707045
EG194588	NM_001038676	chr7	+	15245056	15251345
Jmjd1a	NM_001038695	chr6	-	71538965	71582919
Rnpc3	NM_001038696	chr3	-	113307984	113333004
Rnpc3	NM_026043	chr3	-	113307984	113333004
Elavl4	NM_001038698	chr4	-	109876341	109960030
Fn3k	NM_001038699	chr11	+	121296285	121304819
Fnbp1	NM_001038700	chr2	-	30881725	30997526
Gabrb3	NM_001038701	chr7	+	64845911	65084171
Gpr146	NM_001038703	chr5	+	139865857	139872368
Cdc42se1	NM_001038708	chr3	+	95032873	95038499
Tmod2	NM_001038710	chr9	-	75413428	75446847
P2rx7	NM_001038839	chr5	+	123093919	123134293
P2rx7	NM_001038845	chr5	+	123093919	123141441
Rcsd1	NM_001038846	chr1	-	167579075	167638225
Rcsd1	NM_178593	chr1	-	167579075	167638225
P2rx7	NM_001038887	chr5	+	123093919	123105269
Ids	NM_001038991	chrX	-	67596244	67618249
Ids	NM_001038990	chrX	-	67596244	67618249
Ids	NM_010498	chrX	-	67596244	67618249
Rnf38	NM_001038993	chr4	-	44139084	44181211
EG214321	NM_001038995	chr12	-	82477977	82480473
Try10	NM_001038996	chr6	+	41304103	41307943
EG436523	NM_001038997	chr6	+	41342354	41347255
Ccdc23	NM_001038998	chr4	+	118868143	118873696
Atp8a1	NM_001038999	chr5	-	68009379	68238670
Atp8a1	NM_009727	chr5	-	68009379	68238670
Kif5a	NM_001039000	chr10	-	126662754	126700127
F430201B04Rik	NM_001039038	chr17	-	26079177	26081876
Kctd21	NM_001039039	chr7	+	104480867	104498726
Klk13	NM_001039042	chr7	+	50967936	50982128
Pigc	NM_001039045	chr1	+	163899402	163903566
Pigc	NM_026078	chr1	+	163899402	163903566
Trim58	NM_001039047	chr11	+	58453966	58465906
Trim63	NM_001039048	chr4	+	133871035	133885544
Cox8c	NM_001039049	chr12	+	104137515	104138744
Pkib	NM_001039050	chr10	+	57370786	57460918
Pkib	NM_001039051	chr10	+	57351900	57460918
Pkib	NM_001039052	chr10	+	57365674	57460918
Pkib	NM_001039053	chr10	+	57351899	57430175
Pofut1	NM_001039055	chr2	+	153083217	153095985
Kcnj15	NM_001039056	chr16	+	95479250	95521865
Kcnj15	NM_001039057	chr16	+	95479250	95521865
Kcnj15	NM_019664	chr16	+	95479250	95521865
Klhl15	NM_001039059	chrX	+	91480268	91501307
Klhl15	NM_001039060	chrX	+	91480268	91501307
Klhl15	NM_153165	chrX	+	91480268	91501307
Klhl15	NM_001039061	chrX	+	91480268	91518854
Ldb3	NM_001039073	chr14	-	35339884	35401867
Ldb3	NM_001039072	chr14	-	35339884	35401867
Ldb3	NM_001039071	chr14	-	35339884	35401867
Ldb3	NM_011918	chr14	-	35339884	35401867
Ldb3	NM_001039074	chr14	-	35339884	35401793
Ldb3	NM_001039076	chr14	-	35374439	35401867
Ldb3	NM_001039075	chr14	-	35374439	35401867
Prosc	NM_001039077	chr8	+	28153026	28160713
Prosc	NM_001039078	chr8	+	28153026	28160713
Prkcz	NM_001039079	chr4	-	154634228	154719881
